"Name","Company","State","City","Salary","Url"
"Software Engineer"," Applause  ","MA","Framingham","$93k-$136k","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=321713&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_960daa5a&cb=1524452292362&jobListingId=2706818947"
"Billing Technical Support Engineer"," eClinicalWorks  ","MA","Westborough","$43k-$66k","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=303794&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_85fbdc56&cb=1524452292363&jobListingId=2679614441"
"Hardware Engineering Program Manager"," Acacia Communications  ","MA","Maynard","$101k-$143k","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=311680&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_eeabadca&cb=1524452292365&jobListingId=2731203940"
"Application Systems Engineer (Abrasives)"," Saint-Gobain Abrasives  ","MA","Worcester","$73k-$102k","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=293612&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b8eb1410&cb=1524452292367&jobListingId=2593602472"
"Software Engineer"," Johnson Controls  ","MA","Westminster","$61k-$90k","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=253280&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fd46193b&cb=1524452292369&jobListingId=2729014202"
"Senior Bioinformatics Software Engineer"," MathWorks  ","MA","Natick","$100k-$141k","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=304359&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_98a4e258&cb=1524452292371&jobListingId=2664288275"
"Associate SQA Test Automation Engineer"," Acacia Communications  ","MA","Maynard","$70k-$99k","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=311679&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3153a3c4&cb=1524452292372&jobListingId=2731203937"
"University Programs: Software Engineer I"," Raytheon  ","MA","Marlborough","$66k-$93k","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=292992&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_62b6474c&cb=1524452292374&jobListingId=2738413514"
"Senior Software Application Engineer"," Mellanox Technologies  ","MA","Westborough","$90k-$117k","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=315254&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a0a53c45&cb=1524452292375&jobListingId=2689153757"
"Sr. OTN/Ethernet Protocol Validation Engineer"," Acacia Communications  ","MA","Maynard","$79k-$110k","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=311679&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a422bd42&cb=1524452292377&jobListingId=2731203939"
"Sr Software QA Engineer"," Perkinelmer  ","MA","Hopkinton","$56k-$82k","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=319885&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2b0922d4&cb=1524452292379&jobListingId=2673412088"
"Principal Software Engineer"," PrismHR  ","MA","Hopkinton","$118k-$168k","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=307590&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_60d21185&cb=1524452292381&jobListingId=2707810597"
"Software Engineer in Test - MATLAB Data Tools"," MathWorks  ","MA","Natick","$83k-$112k","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=304359&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bc0868ad&cb=1524452292383&jobListingId=2635769878"
"Internship: Software Engineering | Summer"," Cognex  ","MA","Natick","$39k-$58k","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=273207&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6e106753&cb=1524452292385&jobListingId=2624810667"
"Business Development Manager (Abrasives)"," Saint-Gobain Abrasives  ","MA","Worcester","$98k-$139k","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=293614&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_14c35d8f&cb=1524452292386&jobListingId=2560568198"
"Senior SQA Test Automation Engineer"," Acacia Communications  ","MA","Maynard","$93k-$129k","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=311679&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f89d8930&cb=1524452292388&jobListingId=2731203959"
"Software Engineer"," MathWorks  ","MA","Natick","$80k-$114k","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=133130&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_46bad27d&cb=1524452292390&jobListingId=2505615417"
"Software Engineer/SQL"," Avco consulting  ","MA","Worcester","$64k-$94k","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=4120&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_5110a7d2&cb=1524452292392&jobListingId=2683962149"
"Manager, Business Development"," Spencer Technologies (Massachusetts)  ","MA","Northborough","","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=334773&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_43383cad&cb=1524452292393&jobListingId=2729745832"
"Senior Software Engineer (Full Stack)"," PrismHR  ","MA","Hopkinton","$105k-$150k","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=307590&s=58&guid=00000162f06ff3df98476f717839366e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_70a087f8&cb=1524452292395&jobListingId=2606276311"
